,Precision,Recall,Threshold
0,0.00529400642844,1.0,3.1002914273e-05
1,0.00510590015129,0.964285714286,3.16152795562e-05
2,0.00510686589748,0.964285714286,3.1762499333e-05
3,0.00510783200908,0.964285714286,3.18428161346e-05
4,0.00510879848628,0.964285714286,3.19161884776e-05
5,0.0051097653293,0.964285714286,3.19235621309e-05
6,0.00511073253833,0.964285714286,3.19714371138e-05
7,0.00511170011359,0.964285714286,3.19860249991e-05
8,0.00511266805529,0.964285714286,3.22158811925e-05
9,0.00511363636364,0.964285714286,3.22233456228e-05
10,0.00511460503883,0.964285714286,3.23647170401e-05
11,0.00511557408109,0.964285714286,3.2626926269e-05
12,0.00511654349062,0.964285714286,3.26502443291e-05
13,0.00511751326763,0.964285714286,3.2707493033e-05
14,0.00511848341232,0.964285714286,3.29027133904e-05
15,0.00511945392491,0.964285714286,3.30899546685e-05
16,0.00512042480561,0.964285714286,3.33463968261e-05
17,0.00512139605463,0.964285714286,3.34723563293e-05
18,0.00512236767217,0.964285714286,3.36703028578e-05
19,0.00512333965844,0.964285714286,3.39011665031e-05
20,0.00512431201366,0.964285714286,3.4028987334e-05
21,0.00512528473804,0.964285714286,3.40761097552e-05
22,0.00512625783178,0.964285714286,3.41860872893e-05
23,0.0051272312951,0.964285714286,3.42105152867e-05
24,0.00512820512821,0.964285714286,3.42191416241e-05
25,0.00512917933131,0.964285714286,3.42348579229e-05
26,0.00513015390462,0.964285714286,3.4280617475e-05
27,0.00513112884835,0.964285714286,3.45736945171e-05
28,0.00513210416271,0.964285714286,3.46505638912e-05
29,0.00513307984791,0.964285714286,3.47323866093e-05
30,0.00513405590416,0.964285714286,3.48425625313e-05
31,0.00513503233169,0.964285714286,3.50476621224e-05
32,0.00513600913068,0.964285714286,3.52931583217e-05
33,0.00513698630137,0.964285714286,3.53793399015e-05
34,0.00513796384396,0.964285714286,3.56095454282e-05
35,0.00513894175866,0.964285714286,3.60134353618e-05
36,0.00513992004569,0.964285714286,3.60887085663e-05
37,0.00514089870526,0.964285714286,3.61554224225e-05
38,0.00514187773757,0.964285714286,3.62344291351e-05
39,0.00514285714286,0.964285714286,3.62378409239e-05
40,0.00514383692132,0.964285714286,3.62440479973e-05
41,0.00514481707317,0.964285714286,3.62625837427e-05
42,0.0051467784979,0.964285714286,3.636295494e-05
